firmware_project;environment;library;version;resolution
firmwares/environment_lstm/PlatfIO_lstm;nucleo_f411re_lstm;Adafruit INA219;1.2.3;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_lstm/PlatfIO_lstm;nucleo_f411re_lstm;Adafruit NeoPixel;1.15.5;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_lstm/PlatfIO_lstm;nucleo_f411re_lstm;Adafruit SSD1306;2.5.17;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_lstm/PlatfIO_lstm;nucleo_f411re_lstm;ArduinoJson;7.4.3;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_mlp/PlatfIO_mlp;lolin32_mlp;Adafruit BusIO;1.17.4;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_mlp/PlatfIO_mlp;lolin32_mlp;Adafruit GFX Library;1.12.6;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_mlp/PlatfIO_mlp;lolin32_mlp;Adafruit INA219;1.2.3;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_mlp/PlatfIO_mlp;lolin32_mlp;Adafruit NeoPixel;1.15.5;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_mlp/PlatfIO_mlp;lolin32_mlp;Adafruit SSD1306;2.5.17;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_mlp/PlatfIO_mlp;lolin32_mlp;ArduinoJson;7.4.3;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_mlp/PlatfIO_mlp;lolin32_mlp;AsyncTCP;3.5.0;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_mlp/PlatfIO_mlp;lolin32_mlp;ESP8266 and ESP32 OLED driver for SSD1306 displays;4.6.2;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_mlp/PlatfIO_mlp;lolin32_mlp;ESPAsyncWebServer;3.11.2;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_mlp/PlatfIO_mlp;lolin32_mlp;PubSubClient;2.8.0;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_mlp/PlatfIO_mlp;nucleo_f411re_mlp;Adafruit BusIO;1.17.4;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_mlp/PlatfIO_mlp;nucleo_f411re_mlp;Adafruit GFX Library;1.12.6;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_mlp/PlatfIO_mlp;nucleo_f411re_mlp;Adafruit INA219;1.2.3;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_mlp/PlatfIO_mlp;nucleo_f411re_mlp;Adafruit NeoPixel;1.15.5;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_mlp/PlatfIO_mlp;nucleo_f411re_mlp;Adafruit SSD1306;2.5.17;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_mlp/PlatfIO_mlp;nucleo_f411re_mlp;ArduinoJson;7.4.3;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;shared-local;Adafruit Unified Sensor;1.1.15;firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny/lib/Adafruit Unified Sensor
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;shared-local;DHT sensor library;1.4.7;firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny/lib/DHT sensor library
firmwares/environment_lstm/PlatfIO_lstm;shared-local;Adafruit Unified Sensor;1.1.15;firmwares/environment_lstm/PlatfIO_lstm/lib/Adafruit Unified Sensor
firmwares/environment_lstm/PlatfIO_lstm;shared-local;DHT sensor library;1.4.7;firmwares/environment_lstm/PlatfIO_lstm/lib/DHT sensor library
firmwares/environment_mlp/PlatfIO_mlp;shared-local;Adafruit Unified Sensor;1.1.15;firmwares/environment_mlp/PlatfIO_mlp/lib/Adafruit Unified Sensor
firmwares/environment_mlp/PlatfIO_mlp;shared-local;DHT sensor library;1.4.7;firmwares/environment_mlp/PlatfIO_mlp/lib/DHT sensor library
