replay_idx,is_seed,epoch,datetime,T_out_raw,H_out_raw,T_in_raw,H_in_raw,T_in_ref,H_in_filt_ref,T_in_lag1_ref,H_in_lag1_ref,T_in_lag2_ref,H_in_lag2_ref,T_in_ground truth,T_in_pred_python,H_in_ground truth,H_in_pred_python
11,0,1546531200,2019-01-03 16:00:00,31.1100,66.0000,28.9600,71.6300,28.9600,67.7614,28.8200,67.4250,28.8600,67.0420,28.9600,28.7800,67.7614,67.4486
12,0,1546534800,2019-01-03 17:00:00,32.2200,66.0000,28.9200,70.2500,28.9200,67.9605,28.9600,67.7614,28.8200,67.4250,28.9200,28.9200,67.9605,67.7692
13,0,1546538400,2019-01-03 18:00:00,32.2200,62.0000,28.8500,68.6400,28.8500,68.0149,28.9200,67.9605,28.9600,67.7614,28.8500,28.9028,68.0149,67.9683
14,0,1546542000,2019-01-03 19:00:00,32.2200,62.0000,28.8500,68.9000,28.8500,68.0857,28.8500,68.0149,28.9200,67.9605,28.8500,28.8328,68.0857,68.0069
15,0,1546545600,2019-01-03 20:00:00,32.2200,62.0000,28.8100,67.8600,28.8100,68.0676,28.8500,68.0857,28.8500,68.0149,28.8100,28.8328,68.0676,68.0935
16,0,1546549200,2019-01-03 21:00:00,32.2200,62.0000,28.8500,68.0300,28.8500,68.0646,28.8100,68.0676,28.8500,68.0857,28.8500,28.7928,68.0646,68.0754
17,0,1546552800,2019-01-03 22:00:00,32.2200,62.0000,28.8700,67.9000,28.8700,68.0515,28.8500,68.0646,28.8100,68.0676,28.8700,28.8328,68.0515,68.0724
18,0,1546556400,2019-01-03 23:00:00,32.2200,59.0000,28.7200,64.2000,28.7200,67.7433,28.8700,68.0515,28.8500,68.0646,28.7200,28.8528,67.7433,68.0435
19,0,1546560000,2019-01-04 00:00:00,31.1100,55.0000,28.8700,64.8200,28.8700,67.5095,28.7200,67.7433,28.8700,68.0515,28.8700,28.7255,67.5095,67.7511
20,0,1546563600,2019-01-04 01:00:00,30.0000,55.0000,28.9600,67.8200,28.9600,67.5343,28.8700,67.5095,28.7200,67.7433,28.9600,28.8755,67.5343,67.5173
21,0,1546567200,2019-01-04 02:00:00,28.8900,58.0000,29.0200,69.1800,29.0200,67.6660,28.9600,67.5343,28.8700,67.5095,29.0200,28.9655,67.6660,67.5421
22,0,1546570800,2019-01-04 03:00:00,28.8900,62.0000,29.0600,69.1600,29.0600,67.7855,29.0200,67.6660,28.9600,67.5343,29.0600,29.0255,67.7855,67.6738
23,0,1546574400,2019-01-04 04:00:00,27.7800,70.0000,29.0600,68.5800,29.0600,67.8491,29.0600,67.7855,29.0200,67.6660,29.0600,29.0428,67.8491,67.8091
24,0,1546578000,2019-01-04 05:00:00,28.8900,70.0000,29.0500,68.5000,29.0500,67.9011,29.0600,67.8491,29.0600,67.7855,29.0500,29.0655,67.9011,67.8884
25,0,1546581600,2019-01-04 06:00:00,28.8900,74.0000,29.0500,67.8400,29.0500,67.8962,29.0500,67.9011,29.0600,67.8491,29.0500,29.0328,67.8962,67.9404
26,0,1546585200,2019-01-04 07:00:00,27.7800,74.0000,29.0200,66.9400,29.0200,67.8197,29.0500,67.8962,29.0500,67.9011,29.0200,29.0328,67.8197,67.9513
27,0,1546588800,2019-01-04 08:00:00,27.7800,74.0000,28.9800,67.7600,28.9800,67.8150,29.0200,67.8197,29.0500,67.8962,28.9800,29.0255,67.8150,67.8905
28,0,1546592400,2019-01-04 09:00:00,27.7800,79.0000,28.9800,67.3600,28.9800,67.7786,28.9800,67.8150,29.0200,67.8197,28.9800,28.9628,67.7786,67.8857
29,0,1546596000,2019-01-04 10:00:00,27.7800,79.0000,29.1200,67.5300,29.1200,67.7587,28.9800,67.7786,28.9800,67.8150,29.1200,28.9628,67.7587,67.8651
30,0,1546599600,2019-01-04 11:00:00,27.2200,79.0000,29.1500,66.0900,29.1500,67.6252,29.1200,67.7587,28.9800,67.7786,29.1500,29.1255,67.6252,67.8295
31,0,1546603200,2019-01-04 12:00:00,27.2200,79.0000,29.2100,66.8700,29.2100,67.5648,29.1500,67.6252,29.1200,67.7587,29.2100,29.1555,67.5648,67.7117
32,0,1546606800,2019-01-04 13:00:00,27.2200,79.0000,29.3500,65.7200,29.3500,67.4172,29.2100,67.5648,29.1500,67.6252,29.3500,29.2383,67.4172,67.6356
33,0,1546610400,2019-01-04 14:00:00,28.8900,74.0000,29.5000,66.9000,29.5000,67.3758,29.3500,67.4172,29.2100,67.5648,29.5000,29.3783,67.3758,67.4880
34,0,1546614000,2019-01-04 15:00:00,30.0000,70.0000,29.5500,64.7400,29.5500,67.1650,29.5000,67.3758,29.3500,67.4172,29.5500,29.5283,67.1649,67.4466
35,0,1546617600,2019-01-04 16:00:00,31.1100,62.0000,29.6000,63.7300,29.6000,66.8902,29.5500,67.1650,29.5000,67.3758,29.6000,29.5783,66.8902,67.2357
36,0,1546621200,2019-01-04 17:00:00,32.2200,59.0000,29.4800,62.6100,29.4800,66.5477,29.6000,66.8902,29.5500,67.1650,29.4800,29.6283,66.5477,66.9452
37,0,1546624800,2019-01-04 18:00:00,32.2200,55.0000,29.3800,60.7000,29.3800,66.0799,29.4800,66.5477,29.6000,66.8902,29.3800,29.5083,66.0799,66.5870
38,0,1546628400,2019-01-04 19:00:00,32.7800,52.0000,29.2800,61.4300,29.2800,65.7079,29.3800,66.0799,29.4800,66.5477,29.2800,29.4083,65.7079,66.1035
39,0,1546632000,2019-01-04 20:00:00,32.7800,49.0000,29.1600,60.7800,29.1600,65.3137,29.2800,65.7079,29.3800,66.0799,29.1600,29.3311,65.3137,65.7315
40,0,1546635600,2019-01-04 21:00:00,32.7800,52.0000,29.1100,61.2200,29.1100,64.9862,29.1600,65.3137,29.2800,65.7079,29.1100,29.1883,64.9862,65.3215
41,0,1546639200,2019-01-04 22:00:00,32.2200,49.0000,29.1000,61.2100,29.1000,64.6841,29.1100,64.9862,29.1600,65.3137,29.1000,29.1383,64.6841,64.9940
42,0,1546642800,2019-01-04 23:00:00,31.1100,52.0000,29.1100,60.7200,29.1100,64.3670,29.1000,64.6841,29.1100,64.9862,29.1100,29.1055,64.3670,64.6762
43,0,1546646400,2019-01-05 00:00:00,27.7800,79.0000,28.9500,59.6700,28.9500,63.9912,29.1100,64.3670,29.1000,64.6841,28.9500,29.1155,63.9912,64.3748
44,0,1546650000,2019-01-05 01:00:00,27.2200,94.0000,28.7500,57.9500,28.7500,63.5079,28.9500,63.9912,29.1100,64.3670,28.7500,28.9555,63.5079,63.9990
45,0,1546653600,2019-01-05 02:00:00,27.2200,89.0000,28.6500,57.3200,28.6500,63.0129,28.7500,63.5079,28.9500,63.9912,28.6500,28.7555,63.0129,63.5157
46,0,1546657200,2019-01-05 03:00:00,27.2200,89.0000,28.7900,59.1600,28.7900,62.7047,28.6500,63.0129,28.7500,63.5079,28.7900,28.6783,62.7047,63.0364
47,0,1546660800,2019-01-05 04:00:00,27.2200,89.0000,28.7900,60.3400,28.7900,62.5155,28.7900,62.7047,28.6500,63.0129,28.7900,28.8183,62.5155,62.7282
48,0,1546664400,2019-01-05 05:00:00,27.7800,74.0000,28.7700,62.1300,28.7700,62.4846,28.7900,62.5155,28.7900,62.7047,28.7700,28.8411,62.4846,62.5233
