replay_idx,is_seed,epoch,datetime,T_out_raw,H_out_raw,T_in_raw,H_in_raw,T_in_ref,H_in_filt_ref,T_in_lag1_ref,H_in_lag1_ref,T_in_lag2_ref,H_in_lag2_ref,T_in_ground truth,T_in_pred_python,H_in_ground truth,H_in_pred_python
25,0,1546581600,2019-01-04 06:00:00,28.8900,74.0000,29.0500,67.8400,29.0500,67.8962,29.0500,67.9011,29.0600,67.8491,29.0500,28.9739,67.8962,67.8032
26,0,1546585200,2019-01-04 07:00:00,27.7800,74.0000,29.0200,66.9400,29.0200,67.8197,29.0500,67.8962,29.0500,67.9011,29.0200,28.9739,67.8197,67.7983
27,0,1546588800,2019-01-04 08:00:00,27.7800,74.0000,28.9800,67.7600,28.9800,67.8150,29.0200,67.8197,29.0500,67.8962,28.9800,28.9439,67.8150,67.7218
28,0,1546592400,2019-01-04 09:00:00,27.7800,79.0000,28.9800,67.3600,28.9800,67.7786,28.9800,67.8150,29.0200,67.8197,28.9800,28.8099,67.7786,67.6520
29,0,1546596000,2019-01-04 10:00:00,27.7800,79.0000,29.1200,67.5300,29.1200,67.7587,28.9800,67.7786,28.9800,67.8150,29.1200,28.9039,67.7587,67.6806
30,0,1546599600,2019-01-04 11:00:00,27.2200,79.0000,29.1500,66.0900,29.1500,67.6252,29.1200,67.7587,28.9800,67.7786,29.1500,29.0439,67.6252,67.6607
31,0,1546603200,2019-01-04 12:00:00,27.2200,79.0000,29.2100,66.8700,29.2100,67.5648,29.1500,67.6252,29.1200,67.7587,29.2100,28.9799,67.5648,67.4622
32,0,1546606800,2019-01-04 13:00:00,27.2200,79.0000,29.3500,65.7200,29.3500,67.4172,29.2100,67.5648,29.1500,67.6252,29.3500,29.1339,67.4172,67.4668
33,0,1546610400,2019-01-04 14:00:00,28.8900,74.0000,29.5000,66.9000,29.5000,67.3758,29.3500,67.4172,29.2100,67.5648,29.5000,29.2739,67.3758,67.3192
34,0,1546614000,2019-01-04 15:00:00,30.0000,70.0000,29.5500,64.7400,29.5500,67.1649,29.5000,67.3758,29.3500,67.4172,29.5500,29.3299,67.1649,67.2129
35,0,1546617600,2019-01-04 16:00:00,31.1100,62.0000,29.6000,63.7300,29.6000,66.8902,29.5500,67.1649,29.5000,67.3758,29.6000,29.3799,66.8902,67.0020
36,0,1546621200,2019-01-04 17:00:00,32.2200,59.0000,29.4800,62.6100,29.4800,66.5477,29.6000,66.8902,29.5500,67.1649,29.4800,29.3359,66.5477,66.6622
37,0,1546624800,2019-01-04 18:00:00,32.2200,55.0000,29.3800,60.7000,29.3800,66.0799,29.4800,66.5477,29.6000,66.8902,29.3800,29.3099,66.0799,66.3848
38,0,1546628400,2019-01-04 19:00:00,32.7800,52.0000,29.2800,61.4300,29.2800,65.7079,29.3800,66.0799,29.4800,66.5477,29.2800,29.2099,65.7079,65.9170
39,0,1546632000,2019-01-04 20:00:00,32.7800,49.0000,29.1600,60.7800,29.1600,65.3137,29.2800,65.7079,29.3800,66.0799,29.1600,29.1099,65.3137,65.5450
40,0,1546635600,2019-01-04 21:00:00,32.7800,52.0000,29.1100,61.2200,29.1100,64.9862,29.1600,65.3137,29.2800,65.7079,29.1100,28.9899,64.9862,65.1507
41,0,1546639200,2019-01-04 22:00:00,32.2200,49.0000,29.1000,61.2100,29.1000,64.6841,29.1100,64.9862,29.1600,65.3137,29.1000,29.0339,64.6841,64.8883
42,0,1546642800,2019-01-04 23:00:00,31.1100,52.0000,29.1100,60.7200,29.1100,64.3670,29.1000,64.6841,29.1100,64.9862,29.1100,29.0239,64.3670,64.5862
43,0,1546646400,2019-01-05 00:00:00,27.7800,79.0000,28.9500,59.6700,28.9500,63.9912,29.1100,64.3670,29.1000,64.6841,28.9500,29.0339,63.9912,64.2690
44,0,1546650000,2019-01-05 01:00:00,27.2200,94.0000,28.7500,57.9500,28.7500,63.5079,28.9500,63.9912,29.1100,64.3670,28.7500,28.8739,63.5079,63.8933
45,0,1546653600,2019-01-05 02:00:00,27.2200,89.0000,28.6500,57.3200,28.6500,63.0129,28.7500,63.5079,28.9500,63.9912,28.6500,28.6739,63.0129,63.4100
46,0,1546657200,2019-01-05 03:00:00,27.2200,89.0000,28.7900,59.1600,28.7900,62.7047,28.6500,63.0129,28.7500,63.5079,28.7900,28.5739,62.7047,62.9150
47,0,1546660800,2019-01-05 04:00:00,27.2200,89.0000,28.7900,60.3400,28.7900,62.5155,28.7900,62.7047,28.6500,63.0129,28.7900,28.7139,62.5155,62.6067
48,0,1546664400,2019-01-05 05:00:00,27.7800,74.0000,28.7700,62.1300,28.7700,62.4846,28.7900,62.5155,28.7900,62.7047,28.7700,28.7139,62.4846,62.4175
